llama_8b_omonimi3,tower_13b_omonimi
['Hausmeister'],['Hausmeister']
['Hausmeister'],['Hausmeister']
['Hausmeister'],"['Hausmeister', 'Hausmeister']"
[],"['Hausmeister', 'Hausmeister']"
[],['Hausmeister']
['Verwahrer'],['Verwahrer']
['Verwahrer'],['Verwahrer']
['Verwahrer'],['Verwahrer']
['Verwahrer'],['Verwahrer']
['Verwahrer'],['Verwahrer']
[],[]
['Insolvenzverfahren'],['Insolvenzverfahren']
[],[]
['Insolvenzverfahren'],[]
[],[]
[],[]
['wettbewerbsverfahren'],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
[],[]
['Bindung'],['Bindung']
['Bindung'],['Bindung']
['Bindung'],[]
['Bindung'],[]
['Bindung'],['Bindung']
['Vernichtung'],[]
[],[]
[],[]
['Vernichtung'],[]
['Vernichtung'],[]
['Aufhebung'],[]
[],['Aufhebung']
['Aufhebung'],[]
[],"['Aufhebung', 'Aufhebung']"
[],['Aufhebung']
[],[]
[],[]
[],[]
[],[]
[],[]
['Bestandnehmer'],[]
['Bestandnehmer'],[]
[],[]
